Fiscal Quarter,Samsung,Huawei*,Apple,Others,,
Q1 '10,4.3,-,15.7,17.2,,
Q2 '10,5.6,-,13,19.9,,
Q3 '10,8.8,-,17,20.1,,
Q4 '10,9.4,-,15.9,24.3,,
Q1 '11,11.3,-,18.3,24.1,,
Q2 '11,17,-,18.8,24.8,,
Q3 '11,22.7,-,13.8,26.7,,
Q4 '11,22.5,3.5,23,16.4,,
Q1 '12,28.8,3.3,23,15.4,,
Q2 '12,32.2,4.1,16.6,14,,
Q3 '12,31,3.8,14.4,25.7,,
Q4 '12,29.1,4.6,20.9,28.6,,
Q1 '13,31.9,4.3,17.1,33.8,,
Q2 '13,32.3,4.3,13,36.4,,
Q3 '13,32.5,4.8,12.9,38.4,,
Q4 '13,28.83,5.66,17.43,36.94,,
Q1 '14,30.7,4.7,15.2,40.8,,
Q2 '14,24.8,6.7,11.7,42.1,,
Q3 '14,23.9,5,11.8,43.9,,
Q4 '14,19.9,6.3,19.7,46.1,,
Q1 '15,24.6,5.2,18.3,37.6,,
Q2 '15,21.3,8.6,13.9,40.6,,
Q3 '15,23.3,7.6,13.4,39.1,,
Q4 '15,20.4,8.2,18.7,36.4,,
Q1 '16,23.8,8.4,15.4,42.1,,
Q2 '16,22.7,9.3,11.7,41,,
Q3 '16,20.9,9.3,12.5,40.7,,
Q4 '16,18,10.5,18.2,36.9,,
Q1 '17,23.3,10,14.7,35,,
Q2 '17,22.9,11,11.8,40.1,,
Q3 '17,22.1,10.4,12.4,39.6,,
Q4 '17,18.9,10.7,19.6,36.8,,
Q1 '18,23.5,11.8,15.7,27.6,,
Q2 '18,21,15.9,12.1,32.9,,
Q3 '18,20.3,14.6,13.2,33.8,,
Q4 '18,18.7,16.1,18.2,31.5,,